X,Y,gid,Name,description,altitudeMode,CODE_10KM,CD_SIG,FID,Field_1
7.5361326421962,42.2182159161031,8373,10kmL93E107N613,,clampToGround,E107N613,10kmL93E107N613,8372,10kmL93E107N613
7.58524738216388,42.8464317290124,8380,10kmL93E107N620,,clampToGround,E107N620,10kmL93E107N620,8379,10kmL93E107N620
7.6354361037597,43.4749821027573,8387,10kmL93E107N627,,clampToGround,E107N627,10kmL93E107N627,8386,10kmL93E107N627
8.10648179456331,48.7759046186011,8394,10kmL93E107N686,,clampToGround,E107N686,10kmL93E107N686,8393,10kmL93E107N686
7.63554162122209,41.9438977738405,8401,10kmL93E108N610,,clampToGround,E108N610,10kmL93E108N610,8400,10kmL93E108N610
7.68549541683262,42.5718888703067,8408,10kmL93E108N617,,clampToGround,E108N617,10kmL93E108N617,8407,10kmL93E108N617
7.73653626586846,43.2002443616908,8415,10kmL93E108N624,,clampToGround,E108N624,10kmL93E108N624,8414,10kmL93E108N624
7.75565801717864,41.9385585354187,8422,10kmL93E109N610,,clampToGround,E109N610,10kmL93E109N610,8421,10kmL93E109N610
7.80689993115013,42.5664885258322,8429,10kmL93E109N617,,clampToGround,E109N617,10kmL93E109N617,8428,10kmL93E109N617
7.85925672092461,43.1947821943597,8436,10kmL93E109N624,,clampToGround,E109N624,10kmL93E109N624,8435,10kmL93E109N624
7.89064628946094,42.1124324262099,8443,10kmL93E110N612,,clampToGround,E110N612,10kmL93E110N612,8442,10kmL93E110N612
7.9434983325658,42.7404107019424,8450,10kmL93E110N619,,clampToGround,E110N619,10kmL93E110N619,8449,10kmL93E110N619
7.98065793895148,41.748175119405,8457,10kmL93E111N608,,clampToGround,E111N608,10kmL93E111N608,8456,10kmL93E111N608
8.03414636180556,42.3758617343932,8464,10kmL93E111N615,,clampToGround,E111N615,10kmL93E111N615,8463,10kmL93E111N615
8.08879449758534,43.0039308200808,8471,10kmL93E111N622,,clampToGround,E111N622,10kmL93E111N622,8470,10kmL93E111N622
8.11587281600172,41.9217227913638,8478,10kmL93E112N610,,clampToGround,E112N610,10kmL93E112N610,8477,10kmL93E112N610
8.17097470565742,42.5494601392516,8485,10kmL93E112N617,,clampToGround,E112N617,10kmL93E112N617,8484,10kmL93E112N617
8.22727474613688,43.1775589071113,8492,10kmL93E112N624,,clampToGround,E112N624,10kmL93E112N624,8491,10kmL93E112N624
8.24387951133305,42.0054807177523,8499,10kmL93E113N611,,clampToGround,E113N611,10kmL93E113N611,8498,10kmL93E113N611
8.30043925592868,42.6332066143677,8506,10kmL93E113N618,,clampToGround,E113N618,10kmL93E113N618,8505,10kmL93E113N618
8.35823050159241,43.2612829696112,8513,10kmL93E113N625,,clampToGround,E113N625,10kmL93E113N625,8512,10kmL93E113N625
8.36406207816668,41.9994502790271,8520,10kmL93E114N611,,clampToGround,E114N611,10kmL93E114N611,8519,10kmL93E114N611
8.42191007125994,42.6271071914506,8527,10kmL93E114N618,,clampToGround,E114N618,10kmL93E114N618,8526,10kmL93E114N618
8.48101734866098,43.2551137536588,8534,10kmL93E114N625,,clampToGround,E114N625,10kmL93E114N625,8533,10kmL93E114N625
8.46755458777905,41.8140470823025,8541,10kmL93E115N609,,clampToGround,E115N609,10kmL93E115N609,8540,10kmL93E115N609
8.52632983182281,42.4415207407219,8548,10kmL93E115N616,,clampToGround,E115N616,10kmL93E115N616,8547,10kmL93E115N616
8.58638032326909,43.0693635591395,8555,10kmL93E115N623,,clampToGround,E115N623,10kmL93E115N623,8554,10kmL93E115N623
